,Y,X,fmax
0,0,0,16
1,0.745880654,0.00200182,
2,1.476844728,0.00400364,
3,2.178352656,0.00600546,
4,2.836607929,0.008007279,
5,3.438901543,0.010009099,
6,3.973924918,0.012010919,
7,4.432042331,0.014012739,
8,4.805515205,0.016014559,
9,5.088672084,0.018016379,
10,5.278019855,0.020018198,
11,5.372293561,0.022020018,
12,5.372444123,0.024021838,
13,5.281565116,0.026023658,
14,5.104761675,0.028025478,
15,4.848966313,0.030027298,
16,4.522708002,0.032029117,
17,4.135842245,0.034030937,
18,3.699250939,0.036032757,
19,3.224521625,0.038034577,
20,2.7236162,0.040036397,
21,2.208539308,0.042038217,
22,1.69101643,0.044040036,
23,1.182191183,0.046041856,
24,0.692350537,0.048043676,
25,0.230685551,0.050045496,
26,-0.194906067,0.052047316,
27,-0.577970779,0.054049136,
28,-0.913600239,0.056050955,
29,-1.198481058,0.058052775,
30,-1.430893548,0.060054595,
31,-1.610661369,0.062056415,
32,-1.73905557,0.064058235,
33,-1.818657937,0.066060055,
34,-1.853189766,0.068061874,
35,-1.847313197,0.070063694,
36,-1.806412907,0.072065514,
37,-1.736366449,0.074067334,
38,-1.643311594,0.076069154,
39,-1.53341891,0.078070974,
40,-1.412677332,0.080072793,
41,-1.28669977,0.082074613,
42,-1.160554844,0.084076433,
43,-1.038629691,0.086078253,
44,-0.924527475,0.088080073,
45,-0.821001854,0.090081893,
46,-0.729929178,0.092083712,
47,-0.652317769,0.094085532,
48,-0.588352222,0.096087352,
49,-0.537469414,0.098089172,
50,-0.498461758,0.100090992,
51,-0.469602312,0.102092812,
52,-0.448785644,0.104094631,
53,-0.4336779,0.106096451,
54,-0.421869313,0.108098271,
55,-0.411022466,0.110100091,
56,-0.399009956,0.112101911,
57,-0.384035655,0.114103731,
58,-0.364734595,0.116105551,
59,-0.340247454,0.11810737,
60,-0.310266763,0.12010919,
61,-0.275053173,0.12211101,
62,-0.235421437,0.12411283,
63,-0.192697009,0.12611465,
64,-0.148645451,0.12811647,
65,-0.105377954,0.130118289,
66,-0.065237325,0.132120109,
67,-0.030669593,0.134121929,
68,-0.004087037,0.136123749,
69,0.01227117,0.138125569,
70,0.016474385,0.140127389,
71,0.007025774,0.142129208,
72,-0.017028422,0.144131028,
73,-0.056010849,0.146132848,
74,-0.109550687,0.148134668,
75,-0.17655038,0.150136488,
76,-0.255183733,0.152138308,
77,-0.342926393,0.154140127,
78,-0.436618413,0.156141947,
79,-0.532557302,0.158143767,
80,-0.626618679,0.160145587,
81,-0.714400481,0.162147407,
82,-0.791385632,0.164149227,
83,-0.853117238,0.166151046,
84,-0.895379733,0.168152866,
85,-0.914378991,0.170154686,
86,-0.906914312,0.172156506,
87,-0.870535295,0.174158326,
88,-0.80367705,0.176160146,
89,-0.705767815,0.178161965,
90,-0.577303983,0.180163785,
91,-0.419888605,0.182165605,
92,-0.236230735,0.184167425,
93,-0.03010433,0.186169245,
94,0.193733069,0.188171065,
95,0.429660215,0.190172884,
96,0.671347456,0.192174704,
97,0.911942949,0.194176524,
98,1.144284097,0.196178344,
99,1.361127413,0.198180164,
100,1.55538925,0.200181984,
101,1.720389246,0.202183803,
102,1.85008805,0.204185623,
103,1.939310927,0.206187443,
104,1.983949111,0.208189263,
105,1.981131436,0.210191083,
106,1.929359572,0.212192903,
107,1.828601391,0.214194722,
108,1.680338264,0.216196542,
109,1.487563619,0.218198362,
110,1.254731691,0.220200182,
111,0.98765708,0.222202002,
112,0.693367409,0.224203822,
113,0.379912997,0.226205641,
114,0.056138995,0.228207461,
115,-0.268573241,0.230209281,
116,-0.584587603,0.232211101,
117,-0.882308708,0.234212921,
118,-1.15248198,0.236214741,
119,-1.386488659,0.238216561,
120,-1.576626051,0.24021838,
121,-1.716363742,0.2422202,
122,-1.800567142,0.24422202,
123,-1.8256807,0.24622384,
124,-1.789864382,0.24822566,
125,-1.693078447,0.25022748,
126,-1.537113191,0.252229299,
127,-1.325562113,0.254231119,
128,-1.063738759,0.256232939,
129,-0.758539325,0.258234759,
130,-0.418254902,0.260236579,
131,-0.052338867,0.262238399,
132,0.328863576,0.264240218,
133,0.714415447,0.266242038,
134,1.093108376,0.268243858,
135,1.453793394,0.270245678,
136,1.785711798,0.272247498,
137,2.078815754,0.274249318,
138,2.324068592,0.276251137,
139,2.513715385,0.278252957,
140,2.64151535,0.280254777,
141,2.702928811,0.282256597,
142,2.695252947,0.284258417,
143,2.617702144,0.286260237,
144,2.471430603,0.288262056,
145,2.259496643,0.290263876,
146,1.986770038,0.292265696,
147,1.659785531,0.294267516,
148,1.286547341,0.296269336,
149,0.876291059,0.298271156,
150,0.439210604,0.300272975,
151,-0.013841005,0.302274795,
152,-0.471667541,0.304276615,
153,-0.923052164,0.306278435,
154,-1.357076628,0.308280255,
155,-1.763427228,0.310282075,
156,-2.132678131,0.312283894,
157,-2.456543604,0.314285714,
158,-2.728091711,0.316287534,
159,-2.941913438,0.318289354,
160,-3.094242691,0.320291174,
161,-3.183024283,0.322292994,
162,-3.207928771,0.324294813,
163,-3.170314711,0.326296633,
164,-3.073140648,0.328298453,
165,-2.920830728,0.330300273,
166,-2.719099271,0.332302093,
167,-2.474740923,0.334303913,
168,-2.195393945,0.336305732,
169,-1.889285011,0.338307552,
170,-1.564964245,0.340309372,
171,-1.231039429,0.342311192,
172,-0.895918074,0.344313012,
173,-0.567565642,0.346314832,
